id;active;category_id;title;slug;headline;price;image;amount
1259274;1;17;Modelowanie procesów biznesowych: BPMN 2.0 od podstaw;modelowanie-procesow-biznesowych-bpmn-20-od-podstaw;Zarządzanie procesami i analiza biznesowa wymagają modeli procesów. Dowiedz się jak wykorzystać w praktyce standard BPMN;129,99;https://img-a.udemycdn.com/course/480x270/1259274_7e66_3.jpg?MTYq2E4eeHlKvuKzDxakk808sZHZFlGG3dh_5Kf3IcxdmFvY9e6RdodHwmHTa53HNam-gNl7aPwUvsrZd_xEmcWiWRt2iBvwcmeZx-K6rYYcQwjBwoL0Hndf5-3LRWfT;1000
2839794;1;17;Zarządzanie konfliktem;zarzadzanie-konfliktem;Czyli jak rozwiązać każdy spór;69,99;https://img-b.udemycdn.com/course/480x270/2839794_06fe.jpg?secure=1koSZU6jLphK3WHT6rTGAQ%3D%3D%2C1607880761;1000
2077008;1;17;Mistrzowskie Wystąpienia Publiczne i Prezentacje;mistrzowskie-wystapienia-publiczne-i-prezentacje;pozbądź się tremy poznaj filary świetnych wystąpień publicznych i prezentacji zjednaj sobie zaufanie ludzi i klientów;69,99;https://img-a.udemycdn.com/course/480x270/2077008_b4eb_4.jpg?q7Upi8oltZtRva7YCbq5LkUq0tCobvw5QgUzLavU9ITKjYDF0fOUx10r5qMXqtCEpg9Y7Yz9FyHo6JMz6B7HybRl6iy2bLNaagUs-PkHYRloomEkdvCSG3Q4nQ3yRJ0X;1000
1942450;1;17;Sztuka Składania Slajdów;sztuka-skadania-slajdow;poznaj cztery filary skutecznych prezentacji;69,99;https://img-a.udemycdn.com/course/480x270/1942450_1e89_5.jpg?6CmjaT2_kmOaQ_ZM8y-O8Dxdhos0QBSPHNIYR115XWuMByZTX3BVZPCrI8Cfk16Yl9xfqg0PFB11li6O7obRWAVxn9jFMHDFKWBU26uqMmuTaNO0IDxIZmfSQT4BqH0_;1000
3010998;1;17;Informacja Zwrotna;informacjazwrotna;Czyli o sztuce skutecznego feedbacku;99,99;https://img-a.udemycdn.com/course/480x270/3010998_3af1_6.jpg?vQWYJXddPTLCCjdyw3X_gV97mey-0kaNisf-YsyMVeJ2UiQYWVpLKLGuL2Neyh_C7VamIZZMUqEZxrjecAM-q5dKV9l1Y-_hFPmQqBmJ1f-WuS9Jl86AhgnYATDzfsKt;1000
2004122;1;17;Jak Pokonać Tremę na 10 Sposobów & Prezentacje i Wystąpienia;jak-pokonac-treme-na-10-sposobow;wystąpienia publiczne: i poznaj najlepsze praktyki jak be tremy dobrze komunikować pomysły produkty i rozwiązania.;69,99;https://img-b.udemycdn.com/course/480x270/2004122_e890_4.jpg?secure=uBbRW3syQd_FVjc_lveujg%3D%3D%2C1607868517;1000
2010558;1;17;15 Sekretów Wystąpień Publicznych;15-sekretow-wystapien-publicznych;Poznaj sprawdzone techniki najlepszych mówców stosowane podczas wystąpień;69,99;https://img-a.udemycdn.com/course/480x270/2010558_dfdb.jpg?4JvDVVbKbGB2XwQrWXv0t4nnS6GAWlu7jr6lRwXYGYTeuNrLZYPRwRw4HPNZIiAg27NVa-LJyh9kzU3MQxq9vy_7nHchCL76MFiZYbkXGKPLJqg30nxHjR5vfLv-Rw;1000
3457624;1;20;Podstawy zapisu scenariuszowego;podstawy-zapisu-scenariuszowego;Jak zapisać twój pomysł na film w formie scenariusza. Wyjaśnione na przykładach scen ze znanych polskich filmów.;0;https://img-a.udemycdn.com/course/480x270/3457624_a852_8.jpg?4woWgWrmcl6zsTDSFWDwzejdzlg_oS4fYEKMyTIMvtFmzsUmmf4tJsMRwgXbM4JzbFo3s2BwvLkXVeJPPWfUiSM6R59aP_e6dWN7Z5MPJlcPX-c5uAcFJZ4sbn20PagF;1000
2481362;1;20;Medytacja;medytacja;Medytacja kreatywna dla początkujących i zaawansowanych. Nauka oddechu wyciszenia oraz wyczucia i poprowadzenia energii;189,99;https://img-b.udemycdn.com/course/480x270/2481362_24a3.jpg?secure=b74k_gOksU7CytZZZdAQJg%3D%3D%2C1607867149;1000
3175192;1;20;Mój pierwszy podcast;moj-pierwszy-podcast;Własna audycja od A do Z.;69,99;https://img-a.udemycdn.com/course/480x270/3175192_e808_3.jpg?vH_5NkIODLzfGIAe9W_e1gL0pygb5WDDQAEbbZ-MP4pYFLAD7dXOFkR7Wz9HyJRRkEgK6YXQxID-r-5RQWn_81g6oWtscikNK3S6fDlM2zieQxTD2kJ1qMIZGgDjHxB1;1000
