id;active;category_id;title;slug;headline;price;image
2966374;1;10;Tapirowanie włosów;tapirowanie-wlosow;Prawidłowa technika tapirowania włosów;69,99;https://img-a.udemycdn.com/course/480x270/2966374_8dc9.jpg?whPFpmjBpHFTiCI5mmChKkzLbT3Gcjql47IEnzaFeswrLjhWG7vtSnDJ3r3ipkqxu5aPn4ckiuYoiKp55l2T2IoRZzNObe8naOT2TgTtb6Ul2wWX4vrGh7Ls1nVuNA
2972008;1;10;Niskie upięcie boho;niskie-upiecie-boho;Kok z falowaną strukturą;129,99;https://img-a.udemycdn.com/course/480x270/2972008_a163.jpg?NNfq8MDtDkT4jZCn6zhFyZVKKCgdG9Yzq570h1MshWuZGSBbgc3eQjYH8TbiL7w_zLYu49XOnsLO1p1lHY-tq3XJBnONjIfIQ1DOPhPBEC5_MvRbO0yZuFcTVQYWIQ
2493308;1;10;Budowa paznokci salonowych kształtów żelem jednolitym.;budowa-paznokci-salonowych-ksztatow-technika-jednolita;Przedłużanie metodą żelową w kształtach: kwadrat migdał owal squo-owal gotycki migdał w krótkiej salonowej długości.;299,99;https://img-a.udemycdn.com/course/480x270/2493308_4188.jpg?xyloLB8yKP1jIKydXiF3j3P5lehooaZzOm6ldgLjQIUw1CNkCxI-2IjRWH4q99W3qHPbvLFP5YlYjT8iKnLDRnrY_lTcrC08LliJnU3-umKeMPMfx1tAqFItUy3jRw
2216812;1;10;Budowa paznokci. Metoda akrylowa.;budowa-paznokci-metoda-akrylowa;Przedłużanie metodą akrylową French w kształtach: kwadrat migdał sztylet Pipe Bridget Edge Butterfly;379,99;https://img-a.udemycdn.com/course/480x270/2216812_c41d_2.jpg?-jo0tRlLj1u9khTovXodRgZIguLjUbRtXOhapMLhuNybYPrsAlE3gdLjqg2pyjJeCZLtr9iD_8GGmRBrkTfqknYsMyB7UMRQeXHotobwe7Ga1F5iqhReTyxKJDhYE-td
2932590;1;10;UPIĘCIE A'LA WARKOCZ Z ELEMENTAMI ŻEBROWANIA;upiecie-z-elementami-zebrowania;Niskie upięcie;129,99;https://img-a.udemycdn.com/course/480x270/2932590_d926.jpg?va89jZ0oGwJWjHTVKr5ro49XbxMEUtf7SWzXrwlQaVCLjUGAsvNF4b-ZFUAXFhx0_72BzbhR1daz2W3aaJwW3E9nMbFAOP_1xNav_tW92lIGcJcYp87yyAyltFxBdA
2166962;1;10;Nail Art. Ornamenty 1 stopnia;nail-art-ornamenty-1-stopnia;Szkolenie z zakresu zdobień ornamentowych;174,99;https://img-a.udemycdn.com/course/480x270/2166962_0ad1_4.jpg?l1pC_dqi-_VvZ9HKJFzy5UIDraeCzRA00tbNkus4DxSv9cuUwXnNXmUksSbJo_EvzH9YW69eQnrBoGsSQdNRmL0y15AZEaBQTI-W09DOgYJt9TexJmzLENYmrfdTYAiM
2932564;1;10;KUCYK Z KRĘCONYCH WŁOSÓW;kucyk-z-kreconych-wosow;Upięcie w formie kucyka z rozbudowaną górą;129,99;https://img-a.udemycdn.com/course/480x270/2932564_3d5e_4.jpg?qpmRGlVn1gFFV9DOVhJLY9b4it2abWr7lpDvC-XymBo4OLHT4ef456XpYvmK7sGa1ho6ZKb-qJxr--E8xpAFDB5rxHycSKETzG-knvxfGqC1_DKHMULUn1f2Eza6Qgkr
2447766;1;10;Babyboomer bez tajemnic.;babyboomer-bez-tajemnic;Poznaj tajniki cieniowanego frencha;174,99;https://img-a.udemycdn.com/course/480x270/2447766_041a_5.jpg?aQhbkwKxb_5f9ExrwCDqcbU5kWWljW95lJ0DV8MpHESxX02SGOFUWPMmsXxZQUSFzg5CGS5ZMBe1yQEg6WBMFOjmAwOxWtaGRM6mFNLPXZ4Vk4UMjoXAmmIweOkw5CTW
2084346;1;10;Prawidłowe podkładanie szablonów by Viktoriia Klopotova;prawidowe-podkadanie-szablonow-by-viktoriia-klopotova;Technika podkładania szablonów dla budowy sztucznych paznokci krok po kroku;99,99;https://img-b.udemycdn.com/course/480x270/2084346_baf0_3.jpg?secure=fv4_p7yHY4E-MCnIj9w7ZQ%3D%3D%2C1607868608
2054107;1;10;Profesjonalny manicure od Viktoriia Klopotova;profesjonalny_manicure_by_viktoriia_klopotova;Klasyczny manicure frezarkowy manicure manicure kombinowany męski manicure manicure europejski;99,99;https://img-a.udemycdn.com/course/480x270/2054107_aa20_4.jpg?Nmnm9DWzud01GbbrlGmOvWaw3iwZdXUpV296_5q92QiyXyapdjU31vsUeqTPooNX5txmC3r6B4ByRr_0p1sw6s6P5TbO1kvUjHK4tCD8_GChcvp-FFC9yCNfD9OFrmwb
2880796;1;10;UPIĘCIE W STYLU GLAMOUR;upiecie-w-stylu-glamour;NISKI KOK W STYLU GLAMOUR;129,99;https://img-b.udemycdn.com/course/480x270/2880796_409c_3.jpg?secure=HBgYw4UaLZM2vekH1daC9w%3D%3D%2C1607868608
2139386;1;10;Budowa paznokci. Metoda żelowa;budowa-paznokci-metoda-zelowa;Przedłużanie metodą żelową w kształtach: kwadrat migdał owal sztylet pipe oraz kwadrat french;349,99;https://img-b.udemycdn.com/course/480x270/2139386_20c0_6.jpg?secure=g3pWBC2NnvHnRo_GlimrYg%3D%3D%2C1607868608
